array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
20352;1.8670001030;33127;11281;1848;162816;30778758;15791153
20480;1.8250000477;33876;13529;1729;163840;30991909;15925600
20608;5.0420002937;33792;13458;2778;164864;31205181;16051433
20736;1.8390001059;33778;12611;2227;165888;31418574;16179350
20864;4.9810004234;34677;17068;2549;166912;31632088;16307288
20992;1.8770000935;34371;12593;1532;167936;31845722;16437380
21120;1.9440001249;35051;14348;1625;168960;32059474;16565336
21248;2.9530000687;35849;17408;2744;169984;32273345;16695433
21376;1.9540001154;35351;12402;1771;171008;32487334;16825541
21504;2.1579999924;35472;13308;1520;172032;32701439;16957811
21632;2.4030001163;36376;13742;1614;173056;32915660;17085785
21760;3.3310000896;35973;15869;1610;174080;33129997;17215879
21888;2.8200001717;36643;15173;1397;175104;33344449;17345992
22016;1.9830000401;36438;14073;1767;176128;33559014;17478260
22144;1.9970000982;36481;12967;1866;177152;33773694;17608391
22272;2.5810000896;36624;13162;1436;178176;33988485;17740661
22400;2.2750000954;37348;13808;1824;179200;34203390;17872949
22528;2.2610001564;37036;13592;2867;180224;34418405;18007395
22656;2.0940001011;38030;15306;2088;181248;34633532;18135387
22784;2.1670000553;38008;15984;1874;182272;34848768;18265481
22912;2.1280000210;38084;15735;2588;183296;35064114;18395593
23040;2.1520001888;38356;15740;1894;184320;35279570;18527863
23168;2.7510001659;38588;15969;1580;185344;35495133;18657994
23296;2.1490001678;38846;14883;2435;186368;35710805;18790263
23424;2.7760000229;39539;16633;1763;187392;35926584;18922552
23552;2.2440001965;39014;16278;3012;188416;36142469;19056998
23680;2.9260001183;39978;18289;1621;189440;36358460;19187149
23808;2.1860001087;39668;15728;1537;190464;36574557;19319416
23936;2.2480001450;40254;18117;2148;191488;36790759;19451705
24064;2.2039999962;40299;16558;3156;192512;37007065;19586150
24192;3.5170001984;41377;19776;2593;193536;37223475;19718459
24320;2.9390001297;41146;16106;2087;194560;37439988;19852903
24448;2.2530000210;41162;16641;1916;195584;37656604;19987367
24576;4.7640004158;41318;18130;3229;196608;37873322;20123990
24704;2.3560001850;40899;16581;3359;197632;38090141;20188912
24832;2.3540000916;42267;17808;3136;198656;38307062;20255902
24960;5.2880001068;42750;22500;3416;199680;38524083;20322912
25088;2.8490002155;42714;18952;3184;200704;38741205;20392077
25216;2.5290000439;42508;17927;1884;201728;38958426;20459103
25344;2.4440000057;43325;19694;1760;202752;39175746;20528270
25472;2.4390001297;43805;19727;2156;203776;39393164;20597454
25600;2.4260001183;43842;19226;3573;204800;39610681;20668796
25728;2.4160001278;43935;18015;1904;205824;39828295;20735840
25856;2.4450001717;44261;20936;2769;206848;40046006;20805007
25984;2.3900001049;44232;17811;2992;207872;40263814;20874190
26112;3.3210000992;45082;20989;1956;208896;40481717;20945534
26240;2.4050002098;44751;18026;1708;209920;40699717;21014735
26368;3.5710000992;45569;23099;2583;210944;40917812;21086079
26496;2.4230000973;45403;18778;3137;211968;41136001;21157437
26624;2.7990000248;46107;19555;3448;212992;41354285;21230956
