array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
17792;1.7320001125;9682;2739;2047;142336;110794342400;7900180
17920;1.8340001106;10635;5117;2231;143360;112394240000;7995737
18048;1.8120000362;10513;3288;2232;144384;114005606400;7984844
18176;1.7590000629;9141;3440;2237;145408;115628441600;7748831
18304;1.8100000620;11453;4471;2152;146432;117262745600;8111009
18432;1.8330000639;10643;3673;2372;147456;118908518400;8100978
18560;1.7490000725;9850;3049;2208;148480;120565760000;7994805
18688;1.8900001049;13253;3148;2262;149504;122234470400;8670748
18816;1.8520001173;11351;3702;2353;150528;123914649600;8305067
18944;1.8250000477;9624;3138;2172;151552;125606297600;8165179
19072;1.8760000467;10144;3825;2620;152576;127309414400;8388093
19200;1.9850001335;12936;4887;2608;153600;129024000000;8661290
19328;1.9650001526;10059;4982;2413;154624;130750054400;8480583
19456;3.1660001278;10986;3010;2225;155648;132487577600;8567791
19584;1.9300000668;13071;3599;2336;156672;134236569600;8655233
19712;1.9380000830;10411;4248;2409;157696;135997030400;8548984
19840;1.9800001383;13091;5201;2424;158720;137768960000;8887819
19968;2.2050001621;13026;7284;2657;159744;139552358400;8899902
20096;2.0559999943;13055;4897;2608;160768;141347225600;9187639
20224;1.9320000410;10859;3181;2470;161792;143153561600;8787004
20352;2.0190000534;12865;3292;2523;162816;144971366400;9243182
20480;1.9990000725;11632;3087;1274;163840;146800640000;9126103
20608;2.0390000343;12248;3063;1223;164864;148641382400;9326214
20736;2.1610000134;15629;4188;2486;165888;150493593600;9545782
20864;1.9680000544;10636;3425;2555;166912;152357273600;9000609
20992;2.0280001163;10710;3653;2378;167936;154232422400;8987943
21120;2.0690000057;13699;3281;2461;168960;156119040000;9463647
21248;2.0480000973;12534;3449;2585;169984;158017126400;9356695
21376;2.1520001888;14068;4640;2476;171008;159926681600;9586304
21504;5.0720000267;14232;6318;2748;172032;161847705600;9620546
21632;2.2240002155;16929;5180;2533;173056;163780198400;9957669
21760;2.1400001049;12586;5216;2634;174080;165724160000;9584748
21888;2.1620001793;14038;4016;2674;175104;167679590400;9890776
22016;2.1370000839;13173;3639;2735;176128;169646489600;9784445
22144;2.2150001526;16382;3608;2550;177152;171624857600;10139713
22272;2.2510001659;16344;3726;2687;178176;173614694400;10341318
22400;2.2150001526;13630;5084;2754;179200;175616000000;9904156
22528;2.2750000954;14805;6062;2919;180224;177628774400;10187811
22656;2.1530001163;11342;4009;2671;181248;179653017600;9841921
22784;2.2320001125;12327;3941;2766;182272;181688729600;10207851
22912;2.2280001640;13650;3642;2761;183296;183735910400;10191693
23040;2.2770001888;13676;4721;2803;184320;185794560000;10270952
23168;2.2720000744;13704;5894;2797;185344;187864678400;10160850
23296;2.2720000744;14663;3877;2952;186368;189946265600;10334002
23424;2.3140001297;13006;3579;1656;187392;192039321600;10604682
23552;3.6240000725;14062;4511;2975;188416;194143846400;10439617
23680;2.2980000973;14294;3968;2874;189440;196259840000;10504141
23808;2.3790001869;15818;4923;2951;190464;198387302400;10648003
23936;2.4150002003;16767;6348;2886;191488;200526233600;10811917
24064;3.1710002422;14526;5282;3209;192512;202676633600;10694840
24192;2.3830001354;14665;6759;3028;193536;204838502400;10766468
24320;2.4460000992;16565;4283;2896;194560;207011840000;11205177
24448;2.3480000496;13684;3625;1353;195584;209196646400;10689733
24576;2.4830000401;17209;5127;1534;196608;211392921600;11220766
24704;2.4340000153;14173;6398;1805;197632;213600665600;10878134
24832;2.3840000629;14797;4018;1573;198656;215819878400;10899141
24960;2.4290001392;15047;4122;1744;199680;218050560000;10991307
25088;2.5420000553;15874;5745;1639;200704;220292710400;11283863
25216;2.4390001297;14577;4076;1678;201728;222546329600;11150807
25344;2.4800000191;15056;4238;1659;202752;224811417600;11356628
25472;2.5480000973;16124;5449;1558;203776;227087974400;11530447
25600;2.6230001450;19496;5417;1890;204800;229376000000;11889455
25728;2.5560002327;18822;3904;1668;205824;231675494400;11715300
25856;2.6960000992;21566;7361;2114;206848;233986457600;12142872
25984;3.4430000782;17071;6914;3459;207872;236308889600;11606249
26112;2.6189575195;19194;3979;1371;208896;238642790400;11986923
26240;2.7040002346;17355;6137;3285;209920;240988160000;12059471
26368;2.5580000877;16338;4565;3266;210944;243344998400;11717815
26496;2.6210000515;15536;5862;1868;211968;245713305600;11792825
26624;2.6790001392;18712;6314;1773;212992;248093081600;12120742
26752;2.6860001087;19021;4456;2064;214016;250484326400;12313438
26880;2.6850001812;17971;6067;3136;215040;252887040000;12084637
27008;2.7150001526;16893;6726;3307;216064;255301222400;12251682
27136;2.7680001259;20951;4843;3002;217088;257726873600;12699052
27264;2.7770001888;19716;7943;3312;218112;260163993600;12389319
27392;2.6960000992;17245;7148;2215;219136;262612582400;12175631
27520;2.7880001068;22051;5306;1767;220160;265072640000;12770480
27648;2.6990001202;16273;5784;2091;221184;267544166400;12200276
27776;2.9020001888;23091;7647;3291;222208;270027161600;13082167
27904;2.7810001373;18801;4573;3265;223232;272521625600;12709074
28032;3.4450001717;32790;19474;4247;224256;275027558400;12775184
28160;3.8750002384;22116;6883;3719;225280;277544960000;13107010
28288;2.8400001526;20005;7268;2238;226304;280073830400;13016372
28416;2.8310000896;18954;6162;3574;227328;282614169600;12803149
28544;2.9020001888;21632;6154;3523;228352;285165977600;13299138
28672;3.0250000954;23957;8168;3822;229376;287729254400;13466709
28800;2.9980001450;22183;5682;3442;230400;290304000000;13513054
28928;2.9490001202;19147;6520;3813;231424;292890214400;13164930
29056;2.9250001907;21042;6256;3459;232448;295487897600;13423640
29184;2.9610002041;18848;7613;2109;233472;298097049600;13394254
29312;2.9130001068;20385;6397;1818;234496;300717670400;13353768
29440;2.9290001392;18485;7543;3689;235520;303349760000;13012679
29568;2.9700000286;21692;6606;2699;236544;305993318400;13574994
29696;3.0720000267;22847;8649;3666;237568;308648345600;13820368
29824;2.9850001335;19453;5611;1867;238592;311314841600;13532078
29952;2.9700000286;20667;5823;2689;239616;313992806400;13445819
30080;3.1980001926;24998;8267;2182;240640;316682240000;14214491
30208;3.1070001125;25589;6521;3050;241664;319383142400;14274723
30336;3.1090002060;21556;6481;3596;242688;322095513600;13842917
30464;3.2490000725;29733;8918;3761;243712;324819353600;14947432
30592;3.1030001640;19500;7586;3861;244736;327554662400;13694843
30720;4.5680003166;21900;7369;3520;245760;330301440000;14210937
30848;3.0350000858;17950;6374;2067;246784;333059686400;13626749
30976;3.1660001278;24238;9344;2402;247808;335829401600;14389757
31104;3.0820002556;20618;6223;3889;248832;338610585600;13898973
31232;3.0690002441;18074;6088;3466;249856;341403238400;13909027
31360;3.1710002422;21494;7936;3976;250880;344207360000;14326723
31488;3.1110000610;22006;7251;3752;251904;347022950400;14080700
31616;3.1900000572;23772;6125;3703;252928;349850009600;14570365
31744;3.2870001793;25141;8554;3866;253952;352688537600;14839596
31872;3.2140002251;22807;6924;3643;254976;355538534400;14572311
32000;3.2420001030;23426;6212;3768;256000;358400000000;14723039
32128;3.2000000477;22500;9528;4011;257024;361272934400;14465075
32256;3.2640001774;23943;7736;3923;258048;364157337600;14837974
32384;3.2330000401;23156;8497;3988;259072;367053209600;14683601
32512;3.4260001183;28533;10484;4280;260096;369960550400;15484522
32640;3.4040000439;26519;9711;2008;261120;372879360000;15398148
32768;3.3110001087;22517;7780;2590;262144;375809638400;14958685
32896;3.2760002613;21807;7142;2377;263168;378751385600;14747707
33024;3.4070000648;25234;9962;2453;264192;381704601600;15460017
33152;3.4020001888;23461;9535;2392;265216;384669286400;15216956
33280;3.4140002728;23435;6854;4116;266240;387645440000;15404578
33408;3.4500000477;24001;11530;4387;267264;390633062400;15309693
33536;3.5010001659;29098;10299;3872;268288;393632153600;15918283
33664;3.3720002174;23630;8121;3921;269312;396642713600;15316532
33792;3.5630002022;23942;8755;4248;270336;399664742400;15469146
33920;3.3650002480;21464;8686;4232;271360;402698240000;15172780
34048;3.6660001278;24554;9399;1848;272384;405743206400;15685721
34176;3.4580001831;24676;8320;4267;273408;408799641600;15653098
34304;5.5540003777;22073;6563;3894;274432;411867545600;15262394
34432;3.4050002098;23634;9675;2545;275456;414946918400;15459589
34560;3.5690002441;27602;9462;3522;276480;418037760000;16245056
34688;3.5360002518;26253;7548;2612;277504;421140070400;16035871
34816;3.4850001335;23733;7994;2324;278528;424253849600;15853385
34944;3.5540001392;23526;7188;2190;279552;427379097600;15943297
35072;3.4970002174;22526;8932;2265;280576;430515814400;15737583
35200;3.6950001717;28708;9099;2449;281600;433664000000;16572918
35328;3.5380001068;22869;7656;2196;282624;436823654400;16008949
35456;3.5920002460;26088;7307;2878;283648;439994777600;16273960
35584;3.5620002747;24744;7250;2566;284672;443177369600;16335401
35712;3.7820000648;30534;10838;4494;285696;446371430400;17180767
35840;3.6950001717;28011;9528;2425;286720;449576960000;16739834
35968;6.5290002823;28245;10734;2655;287744;452793958400;16570483
36096;3.6340000629;25588;8029;4632;288768;456022425600;16632856
36224;3.6460001469;23354;10432;4620;289792;459262361600;16545512
36352;3.6280002594;24487;8152;4235;290816;462513766400;16519177
36480;3.7020001411;27415;9970;4596;291840;465776640000;16852251
36608;3.7180001736;28599;8045;4577;292864;469050982400;16901188
36736;3.7740001678;32021;8639;4625;293888;472336793600;17193625
36864;3.8430001736;31463;11047;4394;294912;475634073600;17511554
36992;3.7550001144;25623;9741;4590;295936;478942822400;17083337
37120;3.9010002613;30733;13193;4717;296960;482263040000;17657011
37248;3.7790002823;26923;10501;4700;297984;485594726400;17160884
37376;3.8970000744;29723;10548;4544;299008;488937881600;17581465
37504;4.0859999657;32469;8802;4365;300032;492292505600;17841618
37632;3.8390002251;30511;11679;4516;301056;495658598400;17646006
37760;3.8800001144;29232;13450;4412;302080;499036160000;17543452
37888;3.8010001183;26694;8331;4902;303104;502425190400;17201605
38016;5.1830000877;29886;11698;4960;304128;505825689600;17673084
38144;4.1370000839;29871;9155;5001;305152;509237657600;18159821
38272;3.9630002975;31631;11299;4613;306176;512661094400;17915887
38400;3.8740000725;27861;12733;2977;307200;516096000000;17668373
