array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
32000;2.6230001450;56989;2218;21;256000;50601844;24238967
32128;2.5560002327;57173;1993;18;257024;50823802;24312503
32256;3.0070002079;57607;2208;19;258048;51045838;24388197
32384;2.6400001049;58086;2115;17;259072;51267952;24461752
32512;2.8980002403;58438;2294;12;260096;51490143;24537446
32640;2.4850001335;58031;2354;16;261120;51712410;24613158
32768;2.6150000095;58011;2434;16;262144;51934754;24691028
32896;3.0000002384;58406;2450;16;263168;52157174;24817957
33024;2.7780001163;59639;2145;16;264192;52379670;24946899
33152;2.7480001450;60540;2349;16;265216;52602242;25075860
33280;2.7280001640;60526;2315;20;266240;52824889;25206977
33408;2.6730000973;60532;2190;25;267264;53047611;25335956
33536;2.5170001984;61295;2168;17;268288;53270408;25467074
33664;2.7750000954;61384;2158;23;269312;53493279;25598210
33792;2.5700001717;61612;2257;20;270336;53716225;25731504
33920;2.8820002079;62047;2218;23;271360;53939244;25860501
34048;2.7100000381;62487;2505;17;272384;54162337;25991619
34176;2.7860000134;62884;2468;17;273408;54385504;26122755
34304;4.2170000076;63161;2219;19;274432;54608743;26256049
34432;2.9660000801;63688;2115;17;275456;54832056;26387203
34560;2.6200001240;63691;2261;17;276480;55055440;26520498
34688;2.8900001049;63858;2168;21;277504;55278898;26653809
34816;2.8670001030;64410;2311;14;278528;55502427;26789281
34944;5.7570004463;64711;2683;17;279552;55726028;26918297
35072;2.9530000687;64710;2588;6;280576;55949700;27049413
35200;6.3580002785;65232;2272;22;281600;56173443;27180549
35328;2.8830001354;65269;2325;21;282624;56397258;27313843
35456;2.8960001469;65481;2445;17;283648;56621143;27444998
35584;2.7110002041;65817;2309;22;284672;56845099;27578292
35712;2.6870000362;66148;2329;7;285696;57069125;27711603
35840;2.9250001907;66150;2222;20;286720;57293220;27847073
35968;2.9470000267;66247;2784;22;287744;57517386;27978247
36096;2.7360000610;66697;2368;22;288768;57741621;28111552
36224;5.0540003777;67477;2251;7;289792;57965925;28244853
36352;4.7220001221;67654;2398;26;290816;58190298;28380323
36480;3.2650001049;67575;2338;8;291840;58414739;28513654
36608;3.0000002384;68299;2523;25;292864;58639249;28649123
36736;3.1850001812;68636;2295;14;293888;58863828;28784612
36864;3.4280002117;68922;2745;21;294912;59088474;28922259
36992;3.2260000706;68676;2432;14;295936;59313188;29051291
37120;3.9930002689;69379;2421;18;296960;59537970;29182410
37248;3.0490002632;69411;2644;16;297984;59762819;29313545
37376;2.8600001335;69941;2278;16;299008;59987735;29446839
37504;3.1950001717;70130;2565;24;300032;60212718;29577994
